,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,MLTX,43.6,MLTX250221C00020000,2025-02-21,7,20.0,call,0,0,23.7096,0.0,no_change,21.5,5,26.0,4,0.0,0.0,0.0,23.9499998092651,0.0,0.0,2.5085,0.994,0.0012,-0.0005,0.001,0.0028
1,MLTX,43.6,MLTX250221P00020000,2025-02-21,7,20.0,put,0,0,0.0279,0.0,no_change,0.0,0,0.6,1,0.0,0.0,0.0,0.300000011920929,0.0,0.0,3.2398,-0.0057,0.0011,-0.0122,0.001,-0.0001
2,MLTX,43.6,MLTX250221C00022500,2025-02-21,7,22.5,call,0,0,21.22,0.0,no_change,18.9,3,23.5,6,0.0,0.0,0.0,21.4499998092651,0.0,0.0,2.1547,0.9914,0.0018,-0.0047,0.0014,0.0034
3,MLTX,43.6,MLTX250221P00022500,2025-02-21,7,22.5,put,0,0,0.0367,0.0,no_change,0.0,0,2.15,6,0.0,0.0,0.0,2.45000004768372,0.0,0.0,3.8778,-0.0082,0.0017,-0.0152,0.0014,-0.0001
4,MLTX,43.6,MLTX250221C00025000,2025-02-21,7,25.0,call,0,0,18.7335,0.0,no_change,16.5,5,21.0,6,0.0,0.0,0.0,18.9499998092651,0.0,0.0,1.8376,0.9878,0.0027,-0.0097,0.002,0.0042
5,MLTX,43.6,MLTX250221P00025000,2025-02-21,7,25.0,put,0,0,0.0486,0.0,no_change,0.0,0,2.15,6,0.0,0.0,0.0,2.45000004768372,0.0,0.0,3.377,-0.0118,0.0027,-0.0189,0.002,-0.0001
6,MLTX,43.6,MLTX250221C00030000,2025-02-21,7,30.0,call,0,0,13.7779,14.2,up,11.5,5,16.0,6,0.0,0.0,0.0,13.9499998092651,0.0,0.0,1.6889,0.9739,0.0067,-0.0229,0.0038,0.0063
7,MLTX,43.6,MLTX250221P00030000,2025-02-21,7,30.0,put,0,0,0.089,0.0,no_change,0.0,0,2.15,6,0.0,0.0,0.0,2.45000004768372,0.0,0.0,2.5025,-0.0255,0.0067,-0.0296,0.0038,-0.0003
8,MLTX,43.6,MLTX250221C00035000,2025-02-21,7,35.0,call,0,0,8.8755,0.0,no_change,6.6,11,11.4,8,0.0,0.0,0.0,8.74999976158142,0.0,0.0,1.1561,0.9379,0.0183,-0.0428,0.0078,0.0085
9,MLTX,43.6,MLTX250221P00035000,2025-02-21,7,35.0,put,34,0,0.1813,0.5,down,0.0,0,0.05,1,0.0,0.0,0.0,2.45000004768372,0.0,0.0,0.7086,-0.0614,0.0183,-0.0471,0.0078,-0.0007
10,MLTX,43.6,MLTX250221C00040000,2025-02-21,7,40.0,call,1,0,4.1754,3.8,down,2.6,8,6.5,9,0.0,0.0,0.0,4.25,0.0,0.0,0.9024,0.8152,0.0583,-0.0736,0.0173,0.0086
11,MLTX,43.6,MLTX250221P00040000,2025-02-21,7,40.0,put,108,0,0.4752,0.6,down,0.0,0,1.2,43,0.0,0.0,0.0,0.574999988079071,0.0,0.0,0.7715,-0.1842,0.0584,-0.0755,0.0173,-0.0021
12,MLTX,43.6,MLTX250221C00045000,2025-02-21,7,45.0,call,26,0,0.8683,4.0,no_change,0.0,0,2.4,8,0.0,0.0,0.0,1.14999997615814,0.0,0.0,0.6766,0.3744,0.1072,-0.0849,0.0246,0.0042
13,MLTX,43.6,MLTX250221P00045000,2025-02-21,7,45.0,put,40,0,2.1646,2.0,no_change,0.1,7,3.7,6,0.0,0.0,0.0,2.75000008940697,0.0,0.0,0.4331,-0.6259,0.1075,-0.0845,0.0245,-0.0062
14,MLTX,43.6,MLTX250221C00050000,2025-02-21,7,50.0,call,368,1,0.2229,0.11,down,0.0,0,0.95,5,0.11,0.11,0.11,2.45000004768372,-2.34,-0.955102,0.879,0.1085,0.0408,-0.0509,0.0121,0.0012
15,MLTX,43.6,MLTX250221P00050000,2025-02-21,7,50.0,put,250,0,6.5192,7.0,up,4.1,19,8.2,6,0.0,0.0,0.0,6.44999980926514,0.0,0.0,0.0,-0.8922,0.0408,-0.0478,0.012,-0.0076
16,MLTX,43.6,MLTX250221C00055000,2025-02-21,7,55.0,call,82,0,0.1028,0.3,up,0.0,0,0.5,5,0.0,0.0,0.0,0.300000011920929,0.0,0.0,1.0664,0.0469,0.017,-0.032,0.0063,0.0005
17,MLTX,43.6,MLTX250221P00055000,2025-02-21,7,55.0,put,0,0,11.3982,0.0,no_change,9.0,5,13.5,5,0.0,0.0,0.0,11.3499999046326,0.0,0.0,0.0,-0.9537,0.017,-0.0263,0.0062,-0.0075
