,Unnamed: 0,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,0,NDXP,21441.1543,NDXP250121C18100000,2025-01-21,4,18100.0,call,0,0,3345.4285,0.0,no_change,3232.0,1,3424.1,1,0.0,0.0,0.0,3091.40002441406,0.0,0.0,0.5808,0.9998,0.0,-0.0677,0.0263,0.4957
1,1,NDXP,21441.1543,NDXP250121P18100000,2025-01-21,4,18100.0,put,17,54,0.0753,0.1,up,0.1,4,0.15,1,0.25,0.25,0.05,0.525000005960464,-0.425,-0.809524,0.4759,-0.0003,0.0,-0.0677,0.0263,-0.0002
2,2,NDXP,21441.1543,NDXP250121C18125000,2025-01-21,4,18125.0,call,0,0,3320.4343,0.0,no_change,3211.4,1,3399.1,1,0.0,0.0,0.0,3066.5,0.0,0.0,0.8883,0.9998,0.0,-0.0698,0.0271,0.4953
3,3,NDXP,21441.1543,NDXP250121P18125000,2025-01-21,4,18125.0,put,0,0,0.0777,0.0,no_change,0.0,0,0.1,10,0.0,0.0,0.0,0.550000011920929,0.0,0.0,0.4818,-0.0003,0.0,-0.0699,0.0272,-0.0002
4,4,NDXP,21441.1543,NDXP250121C18150000,2025-01-21,4,18150.0,call,0,0,3295.4402,0.0,no_change,3182.0,1,3374.1,1,0.0,0.0,0.0,3041.05004882812,0.0,0.0,0.8853,0.9998,0.0,-0.0722,0.0279,0.4955
5,5,NDXP,21441.1543,NDXP250121P18150000,2025-01-21,4,18150.0,put,1,0,0.0803,5.1,up,0.0,0,0.45,7,0.0,0.0,0.0,0.550000011920929,0.0,0.0,0.5197,-0.0003,0.0,-0.0721,0.0281,-0.0002
6,6,NDXP,21441.1543,NDXP250121C18175000,2025-01-21,4,18175.0,call,0,0,3270.446,0.0,no_change,3176.3,1,3349.1,1,0.0,0.0,0.0,3016.55004882812,0.0,0.0,0.8761,0.9998,0.0,-0.0744,0.0289,0.4964
7,7,NDXP,21441.1543,NDXP250121P18175000,2025-01-21,4,18175.0,put,0,0,0.0829,0.0,no_change,0.0,0,0.5,19,0.0,0.0,0.0,0.550000011920929,0.0,0.0,0.5157,-0.0003,0.0,-0.0743,0.029,-0.0002
8,8,NDXP,21441.1543,NDXP250121C18200000,2025-01-21,4,18200.0,call,20,20,3245.4519,3202.33,up,3138.9,1,3324.1,1,3186.1,3202.33,3186.1,2991.55004882812,210.78,0.0704584,0.5628,0.9997,0.0,-0.0765,0.0299,0.4979
9,9,NDXP,21441.1543,NDXP250121P18200000,2025-01-21,4,18200.0,put,57,0,0.0855,0.8,up,0.05,1,0.5,18,0.0,0.0,0.0,0.550000011920929,0.0,0.0,0.5151,-0.0004,0.0,-0.0766,0.0299,-0.0002
10,10,NDXP,21441.1543,NDXP250121C18225000,2025-01-21,4,18225.0,call,0,0,3220.458,0.0,no_change,3110.8,1,3299.1,1,0.0,0.0,0.0,2966.14990234375,0.0,0.0,0.87,0.9997,0.0,-0.0792,0.0308,0.4977
11,11,NDXP,21441.1543,NDXP250121P18225000,2025-01-21,4,18225.0,put,0,0,0.0882,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.575000017881394,0.0,0.0,0.5078,-0.0004,0.0,-0.079,0.0309,-0.0002
12,12,NDXP,21441.1543,NDXP250121C18250000,2025-01-21,4,18250.0,call,0,0,3195.4639,0.0,no_change,3086.0,1,3274.1,1,0.0,0.0,0.0,2941.64990234375,0.0,0.0,0.7476,0.9997,0.0,-0.0813,0.032,0.5005
13,13,NDXP,21441.1543,NDXP250121P18250000,2025-01-21,4,18250.0,put,0,0,0.091,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.599999994039536,0.0,0.0,0.5038,-0.0004,0.0,-0.0814,0.0319,-0.0002
14,14,NDXP,21441.1543,NDXP250121C18275000,2025-01-21,4,18275.0,call,0,0,3170.4702,0.0,no_change,3062.5,1,3249.1,1,0.0,0.0,0.0,2916.64990234375,0.0,0.0,0.7505,0.9997,0.0,-0.0839,0.0328,0.4992
15,15,NDXP,21441.1543,NDXP250121P18275000,2025-01-21,4,18275.0,put,2,0,0.0939,6.17,down,0.0,0,0.5,18,0.0,0.0,0.0,0.599999994039536,0.0,0.0,0.4999,-0.0004,0.0,-0.0838,0.0329,-0.0002
16,16,NDXP,21441.1543,NDXP250121C18300000,2025-01-21,4,18300.0,call,1,0,3145.4763,3354.0,up,3032.0,1,3224.1,1,0.0,0.0,0.0,2891.64990234375,0.0,0.0,0.5448,0.9997,0.0,-0.0863,0.034,0.501
17,17,NDXP,21441.1543,NDXP250121P18300000,2025-01-21,4,18300.0,put,1,0,0.0968,1.2,down,0.0,0,0.5,18,0.0,0.0,0.0,0.599999994039536,0.0,0.0,0.4959,-0.0004,0.0,-0.0863,0.034,-0.0002
18,18,NDXP,21441.1543,NDXP250121C18325000,2025-01-21,4,18325.0,call,0,0,3120.4827,0.0,no_change,3012.9,1,3199.2,1,0.0,0.0,0.0,2866.19995117188,0.0,0.0,0.5404,0.9997,0.0,-0.0889,0.0351,0.5011
19,19,NDXP,21441.1543,NDXP250121P18325000,2025-01-21,4,18325.0,put,0,0,0.0998,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.599999994039536,0.0,0.0,0.492,-0.0004,0.0,-0.0889,0.0351,-0.0002
20,20,NDXP,21441.1543,NDXP250121C18350000,2025-01-21,4,18350.0,call,0,0,3095.489,0.0,no_change,2999.8,1,3182.0,1,0.0,0.0,0.0,2841.69995117188,0.0,0.0,0.5359,0.9997,0.0,-0.0916,0.0362,0.5019
21,21,NDXP,21441.1543,NDXP250121P18350000,2025-01-21,4,18350.0,put,0,0,0.1029,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.649999991059303,0.0,0.0,0.488,-0.0004,0.0,-0.0915,0.0362,-0.0002
22,22,NDXP,21441.1543,NDXP250121C18375000,2025-01-21,4,18375.0,call,0,0,3070.4954,0.0,no_change,2974.8,1,3158.0,1,0.0,0.0,0.0,2816.69995117188,0.0,0.0,0.5314,0.9996,0.0,-0.0942,0.0375,0.5034
23,23,NDXP,21441.1543,NDXP250121P18375000,2025-01-21,4,18375.0,put,0,0,0.106,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.649999991059303,0.0,0.0,0.4841,-0.0004,0.0,-0.0942,0.0374,-0.0002
24,24,NDXP,21441.1543,NDXP250121C18400000,2025-01-21,4,18400.0,call,0,0,3045.502,0.0,no_change,2949.8,1,3132.0,1,0.0,0.0,0.0,2791.69995117188,0.0,0.0,0.527,0.9996,0.0,-0.097,0.0386,0.5032
25,25,NDXP,21441.1543,NDXP250121P18400000,2025-01-21,4,18400.0,put,2,0,0.1092,6.94,up,0.0,0,0.5,18,0.0,0.0,0.0,0.649999991059303,0.0,0.0,0.4801,-0.0004,0.0,-0.097,0.0386,-0.0002
26,26,NDXP,21441.1543,NDXP250121C18425000,2025-01-21,4,18425.0,call,0,0,3020.5085,0.0,no_change,2924.8,1,3108.0,1,0.0,0.0,0.0,2766.80004882812,0.0,0.0,0.5281,0.9996,0.0,-0.0999,0.0398,0.5038
27,27,NDXP,21441.1543,NDXP250121P18425000,2025-01-21,4,18425.0,put,0,0,0.1125,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.649999991059303,0.0,0.0,0.4762,-0.0005,0.0,-0.0998,0.0399,-0.0003
28,28,NDXP,21441.1543,NDXP250121C18450000,2025-01-21,4,18450.0,call,0,0,2995.5151,0.0,no_change,2899.8,1,3082.0,1,0.0,0.0,0.0,2741.90002441406,0.0,0.0,0.5237,0.9996,0.0,-0.1025,0.0412,0.5052
29,29,NDXP,21441.1543,NDXP250121P18450000,2025-01-21,4,18450.0,put,0,0,0.1159,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.674999997019768,0.0,0.0,0.4723,-0.0005,0.0,-0.1026,0.0411,-0.0003
30,30,NDXP,21441.1543,NDXP250121C18475000,2025-01-21,4,18475.0,call,0,0,2970.522,0.0,no_change,2874.8,1,3058.0,1,0.0,0.0,0.0,2716.90002441406,0.0,0.0,0.7312,0.9996,0.0,-0.1056,0.0424,0.5049
31,31,NDXP,21441.1543,NDXP250121P18475000,2025-01-21,4,18475.0,put,0,0,0.1194,0.0,no_change,0.0,0,0.5,18,0.0,0.0,0.0,0.700000002980232,0.0,0.0,0.4683,-0.0005,0.0,-0.1055,0.0424,-0.0003
32,32,NDXP,21441.1543,NDXP250121C18500000,2025-01-21,4,18500.0,call,0,0,2945.5288,0.0,no_change,2849.8,1,3032.0,1,0.0,0.0,0.0,2691.90002441406,0.0,0.0,0.5147,0.9996,0.0,-0.1087,0.0437,0.5055
33,33,NDXP,21441.1543,NDXP250121P18500000,2025-01-21,4,18500.0,put,30,0,0.1229,0.85,up,0.0,0,0.5,17,0.0,0.0,0.0,0.700000002980232,0.0,0.0,0.4644,-0.0005,0.0,-0.1085,0.0438,-0.0003
34,34,NDXP,21441.1543,NDXP250121C18525000,2025-01-21,4,18525.0,call,0,0,2920.5356,0.0,no_change,2824.8,1,3008.0,1,0.0,0.0,0.0,2666.90002441406,0.0,0.0,0.5103,0.9996,0.0,-0.1116,0.0452,0.5069
35,35,NDXP,21441.1543,NDXP250121P18525000,2025-01-21,4,18525.0,put,0,0,0.1265,0.0,no_change,0.0,0,0.5,17,0.0,0.0,0.0,0.700000002980232,0.0,0.0,0.4636,-0.0005,0.0,-0.1116,0.0452,-0.0003
36,36,NDXP,21441.1543,NDXP250121C18550000,2025-01-21,4,18550.0,call,0,0,2895.5427,0.0,no_change,2799.8,1,2982.0,1,0.0,0.0,0.0,2641.59997558594,0.0,0.0,0.5058,0.9995,0.0,-0.1149,0.0465,0.5066
37,37,NDXP,21441.1543,NDXP250121P18550000,2025-01-21,4,18550.0,put,0,0,0.1302,0.0,no_change,0.0,0,0.5,17,0.0,0.0,0.0,0.724999979138374,0.0,0.0,0.4596,-0.0006,0.0,-0.1147,0.0466,-0.0003
38,38,NDXP,21441.1543,NDXP250121C18575000,2025-01-21,4,18575.0,call,0,0,2870.5498,0.0,no_change,2774.8,1,2958.0,1,0.0,0.0,0.0,2616.94995117188,0.0,0.0,0.5014,0.9995,0.0,-0.118,0.0479,0.5073
39,39,NDXP,21441.1543,NDXP250121P18575000,2025-01-21,4,18575.0,put,0,0,0.134,0.0,no_change,0.0,0,0.5,17,0.0,0.0,0.0,0.749999970197678,0.0,0.0,0.4557,-0.0006,0.0,-0.1179,0.048,-0.0003
40,40,NDXP,21441.1543,NDXP250121C18600000,2025-01-21,4,18600.0,call,0,0,2845.5569,0.0,no_change,2745.1,1,2932.0,1,0.0,0.0,0.0,2591.94995117188,0.0,0.0,0.7755,0.9995,0.0,-0.1211,0.0495,0.5088
41,41,NDXP,21441.1543,NDXP250121P18600000,2025-01-21,4,18600.0,put,0,0,0.1379,0.0,no_change,0.0,0,0.5,17,0.0,0.0,0.0,0.749999970197678,0.0,0.0,0.4518,-0.0006,0.0,-0.1212,0.0495,-0.0003
42,42,NDXP,21441.1543,NDXP250121C18625000,2025-01-21,4,18625.0,call,0,0,2820.5642,0.0,no_change,2724.9,1,2908.0,1,0.0,0.0,0.0,2566.94995117188,0.0,0.0,0.6893,0.9995,0.0,-0.1244,0.0509,0.5088
43,43,NDXP,21441.1543,NDXP250121P18625000,2025-01-21,4,18625.0,put,2,0,0.1418,7.61,down,0.0,0,0.5,17,0.0,0.0,0.0,0.749999970197678,0.0,0.0,0.4478,-0.0006,0.0,-0.1245,0.051,-0.0003
44,44,NDXP,21441.1543,NDXP250121C18650000,2025-01-21,4,18650.0,call,0,0,2795.5715,0.0,no_change,2699.9,1,2882.0,1,0.0,0.0,0.0,2541.59997558594,0.0,0.0,0.4881,0.9995,0.0,-0.128,0.0525,0.5096
45,45,NDXP,21441.1543,NDXP250121P18650000,2025-01-21,4,18650.0,put,3,0,0.1459,7.8,up,0.0,0,0.5,17,0.0,0.0,0.0,0.775000005960464,0.0,0.0,0.4439,-0.0006,0.0,-0.1279,0.0526,-0.0004
46,46,NDXP,21441.1543,NDXP250121C18675000,2025-01-21,4,18675.0,call,0,0,2770.5789,0.0,no_change,2674.9,1,2858.0,1,0.0,0.0,0.0,2517.0,0.0,0.0,0.4837,0.9994,0.0,-0.1314,0.0542,0.5113
47,47,NDXP,21441.1543,NDXP250121P18675000,2025-01-21,4,18675.0,put,6,0,0.15,2.4,down,0.0,0,0.5,17,0.0,0.0,0.0,0.775000005960464,0.0,0.0,0.44,-0.0006,0.0,-0.1313,0.0542,-0.0004
48,48,NDXP,21441.1543,NDXP250121C18700000,2025-01-21,4,18700.0,call,1,0,2745.5864,2612.0,down,2649.9,1,2832.0,1,0.0,0.0,0.0,2492.0,0.0,0.0,0.4792,0.9994,0.0,-0.1349,0.0558,0.5115
49,49,NDXP,21441.1543,NDXP250121P18700000,2025-01-21,4,18700.0,put,35,0,0.1542,0.9,down,0.0,0,0.5,17,0.0,0.0,0.0,0.800000011920929,0.0,0.0,0.436,-0.0007,0.0,-0.1348,0.0558,-0.0004
