,Unnamed: 0,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,0,NDXP,21774.0645,NDXP250206C17900000,2025-02-06,0,17900.0,call,0,0,3873.4124,0.0,no_change,0.55,8,0.0,0,0.0,0.0,0.0,3701.10009765625,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
1,1,NDXP,21774.0645,NDXP250206P17900000,2025-02-06,0,17900.0,put,37,0,0.0,0.05,no_change,0.0,0,0.05,20,0.0,0.0,0.0,0.0750000011175871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,NDXP,21774.0645,NDXP250206C17925000,2025-02-06,0,17925.0,call,0,0,3848.4124,0.0,no_change,0.55,18,0.0,0,0.0,0.0,0.0,3675.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
3,3,NDXP,21774.0645,NDXP250206P17925000,2025-02-06,0,17925.0,put,26,20,0.0,0.05,down,0.0,0,0.05,20,0.05,0.05,0.05,0.0750000029802322,-0.025,-0.333333,0.0,0.0,0.0,0.0,0.0,0.0
4,4,NDXP,21774.0645,NDXP250206C17950000,2025-02-06,0,17950.0,call,0,0,3823.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3650.79992675781,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
5,5,NDXP,21774.0645,NDXP250206P17950000,2025-02-06,0,17950.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.0750000029802322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,NDXP,21774.0645,NDXP250206C17975000,2025-02-06,0,17975.0,call,0,0,3798.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3625.55004882812,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
7,7,NDXP,21774.0645,NDXP250206P17975000,2025-02-06,0,17975.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,NDXP,21774.0645,NDXP250206C18000000,2025-02-06,0,18000.0,call,0,0,3773.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3600.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
9,9,NDXP,21774.0645,NDXP250206P18000000,2025-02-06,0,18000.0,put,1,0,0.0,3.77,down,0.0,0,0.05,20,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,NDXP,21774.0645,NDXP250206C18025000,2025-02-06,0,18025.0,call,0,0,3748.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3575.80004882812,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
11,11,NDXP,21774.0645,NDXP250206P18025000,2025-02-06,0,18025.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,NDXP,21774.0645,NDXP250206C18050000,2025-02-06,0,18050.0,call,0,0,3723.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3549.65002441406,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
13,13,NDXP,21774.0645,NDXP250206P18050000,2025-02-06,0,18050.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,NDXP,21774.0645,NDXP250206C18075000,2025-02-06,0,18075.0,call,0,0,3698.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3525.55004882812,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
15,15,NDXP,21774.0645,NDXP250206P18075000,2025-02-06,0,18075.0,put,1,0,0.0,8.8,up,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,NDXP,21774.0645,NDXP250206C18100000,2025-02-06,0,18100.0,call,0,0,3673.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3500.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
17,17,NDXP,21774.0645,NDXP250206P18100000,2025-02-06,0,18100.0,put,12,40,0.0,0.05,no_change,0.0,0,0.05,20,0.05,0.05,0.05,0.0750000029802322,-0.025,-0.333333,0.0,0.0,0.0,0.0,0.0,0.0
18,18,NDXP,21774.0645,NDXP250206C18125000,2025-02-06,0,18125.0,call,0,0,3648.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3476.19995117188,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
19,19,NDXP,21774.0645,NDXP250206P18125000,2025-02-06,0,18125.0,put,1,0,0.0,8.8,up,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,NDXP,21774.0645,NDXP250206C18150000,2025-02-06,0,18150.0,call,0,0,3623.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3451.19995117188,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
21,21,NDXP,21774.0645,NDXP250206P18150000,2025-02-06,0,18150.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,NDXP,21774.0645,NDXP250206C18175000,2025-02-06,0,18175.0,call,0,0,3598.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3426.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
23,23,NDXP,21774.0645,NDXP250206P18175000,2025-02-06,0,18175.0,put,1,0,0.0,1.15,down,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,NDXP,21774.0645,NDXP250206C18200000,2025-02-06,0,18200.0,call,0,0,3573.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3401.19995117188,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
25,25,NDXP,21774.0645,NDXP250206P18200000,2025-02-06,0,18200.0,put,22,0,0.0,0.75,up,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,26,NDXP,21774.0645,NDXP250206C18225000,2025-02-06,0,18225.0,call,0,0,3548.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3376.19995117188,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
27,27,NDXP,21774.0645,NDXP250206P18225000,2025-02-06,0,18225.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,28,NDXP,21774.0645,NDXP250206C18250000,2025-02-06,0,18250.0,call,0,0,3523.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3351.40002441406,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
29,29,NDXP,21774.0645,NDXP250206P18250000,2025-02-06,0,18250.0,put,0,20,0.0,0.05,no_change,0.0,0,0.05,20,0.05,0.05,0.05,0.125,-0.075,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
30,30,NDXP,21774.0645,NDXP250206C18275000,2025-02-06,0,18275.0,call,0,0,3498.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3327.79992675781,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
31,31,NDXP,21774.0645,NDXP250206P18275000,2025-02-06,0,18275.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,32,NDXP,21774.0645,NDXP250206C18300000,2025-02-06,0,18300.0,call,0,0,3473.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3301.40002441406,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
33,33,NDXP,21774.0645,NDXP250206P18300000,2025-02-06,0,18300.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,NDXP,21774.0645,NDXP250206C18325000,2025-02-06,0,18325.0,call,0,0,3448.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3276.59997558594,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
35,35,NDXP,21774.0645,NDXP250206P18325000,2025-02-06,0,18325.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,NDXP,21774.0645,NDXP250206C18350000,2025-02-06,0,18350.0,call,0,0,3423.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3250.84997558594,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
37,37,NDXP,21774.0645,NDXP250206P18350000,2025-02-06,0,18350.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,38,NDXP,21774.0645,NDXP250206C18375000,2025-02-06,0,18375.0,call,0,0,3398.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3226.65002441406,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
39,39,NDXP,21774.0645,NDXP250206P18375000,2025-02-06,0,18375.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,40,NDXP,21774.0645,NDXP250206C18400000,2025-02-06,0,18400.0,call,0,0,3373.4124,0.0,no_change,0.0,0,0.0,0,0.0,0.0,0.0,3194.84997558594,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0008
