,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,NDXP,21609.1211,NDXP250212C18200000,2025-02-12,0,18200.0,call,0,0,3411.5344,0.0,no_change,3375.8,1,3446.6,1,0.0,0.0,0.0,3502.94995117188,0.0,0.0,2.3457,1.0,0.0,-0.0016,0.0003,0.0008
1,NDXP,21609.1211,NDXP250212P18200000,2025-02-12,0,18200.0,put,61,0,0.0017,0.05,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.025000000372529,0.0,0.0,1.8553,0.0,0.0,-0.0017,0.0002,0.0
2,NDXP,21609.1211,NDXP250212C18225000,2025-02-12,0,18225.0,call,0,0,3386.5347,0.0,no_change,3350.8,1,3421.6,1,0.0,0.0,0.0,3477.94995117188,0.0,0.0,2.3284,1.0,0.0,-0.0018,0.0002,-0.0003
3,NDXP,21609.1211,NDXP250212P18225000,2025-02-12,0,18225.0,put,0,0,0.0018,0.0,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.0500000007450581,0.0,0.0,1.8413,0.0,0.0,-0.0018,0.0003,0.0
4,NDXP,21609.1211,NDXP250212C18250000,2025-02-12,0,18250.0,call,0,0,3361.5347,0.0,no_change,3325.8,1,3396.6,1,0.0,0.0,0.0,3452.94995117188,0.0,0.0,2.3113,1.0,0.0,-0.0018,0.0004,0.0011
5,NDXP,21609.1211,NDXP250212P18250000,2025-02-12,0,18250.0,put,50,0,0.002,0.1,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.100000001490116,0.0,0.0,1.8273,0.0,0.0,-0.002,0.0003,0.0
6,NDXP,21609.1211,NDXP250212C18275000,2025-02-12,0,18275.0,call,0,0,3336.5349,0.0,no_change,3300.8,1,3371.6,1,0.0,0.0,0.0,3427.89990234375,0.0,0.0,2.2941,1.0,0.0,-0.0021,0.0003,0.0001
7,NDXP,21609.1211,NDXP250212P18275000,2025-02-12,0,18275.0,put,0,0,0.0021,0.0,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.8133,0.0,0.0,-0.0021,0.0003,0.0
8,NDXP,21609.1211,NDXP250212C18300000,2025-02-12,0,18300.0,call,0,0,3311.5352,0.0,no_change,3275.8,1,3346.6,1,0.0,0.0,0.0,3402.94995117188,0.0,0.0,2.2769,1.0,0.0,-0.0023,0.0002,-0.0008
9,NDXP,21609.1211,NDXP250212P18300000,2025-02-12,0,18300.0,put,1,0,0.0023,3.83,down,0.0,0,0.05,27,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.7993,0.0,0.0,-0.0023,0.0003,0.0
10,NDXP,21609.1211,NDXP250212C18325000,2025-02-12,0,18325.0,call,0,0,3286.5352,0.0,no_change,3250.8,1,3321.6,1,0.0,0.0,0.0,3377.94995117188,0.0,0.0,2.2598,1.0,0.0,-0.0023,0.0004,0.0009
11,NDXP,21609.1211,NDXP250212P18325000,2025-02-12,0,18325.0,put,0,1,0.0024,0.05,down,0.0,0,0.05,24,0.05,0.05,0.05,0.150000005960464,-0.1,-0.666667,1.7854,0.0,0.0,-0.0024,0.0003,0.0
12,NDXP,21609.1211,NDXP250212C18350000,2025-02-12,0,18350.0,call,0,0,3261.5354,0.0,no_change,3225.8,1,3296.6,1,0.0,0.0,0.0,3352.94995117188,0.0,0.0,2.2426,1.0,0.0,-0.0026,0.0004,0.0003
13,NDXP,21609.1211,NDXP250212P18350000,2025-02-12,0,18350.0,put,0,0,0.0026,0.0,no_change,0.0,0,0.25,11,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.9708,0.0,0.0,-0.0026,0.0004,0.0
14,NDXP,21609.1211,NDXP250212C18375000,2025-02-12,0,18375.0,call,0,0,3236.5356,0.0,no_change,3201.0,1,3270.8,1,0.0,0.0,0.0,3327.94995117188,0.0,0.0,2.5467,1.0,0.0,-0.0028,0.0004,-0.0002
15,NDXP,21609.1211,NDXP250212P18375000,2025-02-12,0,18375.0,put,0,0,0.0028,0.0,no_change,0.0,0,0.25,11,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.9555,0.0,0.0,-0.0028,0.0004,0.0
16,NDXP,21609.1211,NDXP250212C18400000,2025-02-12,0,18400.0,call,0,0,3211.5359,0.0,no_change,3176.0,1,3245.8,1,0.0,0.0,0.0,3303.0,0.0,0.0,2.5276,1.0,0.0,-0.0031,0.0004,-0.0006
17,NDXP,21609.1211,NDXP250212P18400000,2025-02-12,0,18400.0,put,73,0,0.003,5.95,up,0.0,0,0.25,11,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.9402,0.0,0.0,-0.003,0.0004,0.0
18,NDXP,21609.1211,NDXP250212C18425000,2025-02-12,0,18425.0,call,0,0,3186.5361,0.0,no_change,3151.0,1,3220.8,1,0.0,0.0,0.0,3278.0,0.0,0.0,2.5084,1.0,0.0,-0.0033,0.0004,-0.0009
19,NDXP,21609.1211,NDXP250212P18425000,2025-02-12,0,18425.0,put,0,0,0.0032,0.0,no_change,0.0,0,0.25,16,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.9249,0.0,0.0,-0.0032,0.0004,0.0
20,NDXP,21609.1211,NDXP250212C18450000,2025-02-12,0,18450.0,call,0,0,3161.5364,0.0,no_change,3126.0,1,3195.8,1,0.0,0.0,0.0,3252.94995117188,0.0,0.0,2.4893,1.0,0.0,-0.0036,0.0004,-0.001
21,NDXP,21609.1211,NDXP250212P18450000,2025-02-12,0,18450.0,put,1,0,0.0035,4.18,down,0.0,0,0.25,16,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.9097,0.0,0.0,-0.0034,0.0005,0.0
22,NDXP,21609.1211,NDXP250212C18475000,2025-02-12,0,18475.0,call,0,0,3136.5366,0.0,no_change,3101.0,1,3170.8,1,0.0,0.0,0.0,3228.0,0.0,0.0,2.4701,1.0,0.0,-0.0038,0.0004,-0.001
23,NDXP,21609.1211,NDXP250212P18475000,2025-02-12,0,18475.0,put,0,0,0.0037,0.0,no_change,0.0,0,0.25,11,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.8944,0.0,0.0,-0.0037,0.0005,0.0
24,NDXP,21609.1211,NDXP250212C18500000,2025-02-12,0,18500.0,call,0,0,3111.5369,0.0,no_change,3076.0,1,3145.8,1,0.0,0.0,0.0,3203.0,0.0,0.0,2.451,1.0,0.0,-0.004,0.0005,-0.0008
25,NDXP,21609.1211,NDXP250212P18500000,2025-02-12,0,18500.0,put,1,0,0.004,8.4,down,0.0,0,0.25,16,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.8792,0.0,0.0,-0.004,0.0005,0.0
26,NDXP,21609.1211,NDXP250212C18525000,2025-02-12,0,18525.0,call,0,0,3086.5371,0.0,no_change,3051.0,1,3120.8,1,0.0,0.0,0.0,3178.0,0.0,0.0,2.4319,1.0,0.0,-0.0043,0.0005,-0.0005
27,NDXP,21609.1211,NDXP250212P18525000,2025-02-12,0,18525.0,put,0,0,0.0042,0.0,no_change,0.0,0,0.25,11,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.8639,0.0,0.0,-0.0042,0.0006,0.0
28,NDXP,21609.1211,NDXP250212C18550000,2025-02-12,0,18550.0,call,0,0,3061.5374,0.0,no_change,3026.0,1,3095.8,1,0.0,0.0,0.0,3153.0,0.0,0.0,2.4129,1.0,0.0,-0.0045,0.0006,0.0
29,NDXP,21609.1211,NDXP250212P18550000,2025-02-12,0,18550.0,put,0,0,0.0045,0.0,no_change,0.0,0,0.25,16,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.8487,0.0,0.0,-0.0045,0.0006,0.0
30,NDXP,21609.1211,NDXP250212C18575000,2025-02-12,0,18575.0,call,20,0,3036.5376,3081.32,down,3001.0,1,3070.8,1,0.0,0.0,0.0,3128.05004882812,0.0,0.0,2.3938,1.0,0.0,-0.0048,0.0007,0.0006
31,NDXP,21609.1211,NDXP250212P18575000,2025-02-12,0,18575.0,put,0,0,0.0048,0.0,no_change,0.0,0,0.15,12,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.7681,0.0,0.0,-0.0048,0.0007,0.0
32,NDXP,21609.1211,NDXP250212C18600000,2025-02-12,0,18600.0,call,0,0,3011.5381,0.0,no_change,2976.0,1,3045.8,1,0.0,0.0,0.0,3103.05004882812,0.0,0.0,2.3747,1.0,0.0,-0.0053,0.0006,-0.0009
33,NDXP,21609.1211,NDXP250212P18600000,2025-02-12,0,18600.0,put,0,0,0.0052,0.0,no_change,0.0,0,0.15,12,0.0,0.0,0.0,0.150000005960464,0.0,0.0,1.7534,0.0,0.0,-0.0052,0.0007,0.0
34,NDXP,21609.1211,NDXP250212C18625000,2025-02-12,0,18625.0,call,0,0,2986.5383,0.0,no_change,2951.0,1,3020.8,1,0.0,0.0,0.0,3078.0,0.0,0.0,2.3557,1.0,0.0,-0.0055,0.0008,0.0001
