,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,NDXP,22030.7148,NDXP250213C18200000,2025-02-13,1,18200.0,call,0,0,3834.2168,0.0,no_change,3729.7,1,3909.6,1,0.0,0.0,0.0,3504.14990234375,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
1,NDXP,22030.7148,NDXP250213P18200000,2025-02-13,1,18200.0,put,83,0,0.0,0.05,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.025000000372529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,NDXP,22030.7148,NDXP250213C18225000,2025-02-13,1,18225.0,call,0,0,3809.2168,0.0,no_change,3704.7,1,3884.6,1,0.0,0.0,0.0,3479.14990234375,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
3,NDXP,22030.7148,NDXP250213P18225000,2025-02-13,1,18225.0,put,6,0,0.0,0.1,down,0.0,0,0.05,25,0.0,0.0,0.0,0.025000000372529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,NDXP,22030.7148,NDXP250213C18250000,2025-02-13,1,18250.0,call,0,0,3784.2168,0.0,no_change,3679.7,1,3859.6,1,0.0,0.0,0.0,3454.14990234375,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
5,NDXP,22030.7148,NDXP250213P18250000,2025-02-13,1,18250.0,put,0,0,0.0,0.0,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.0500000007450581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,NDXP,22030.7148,NDXP250213C18275000,2025-02-13,1,18275.0,call,0,0,3759.2168,0.0,no_change,3654.7,1,3834.6,1,0.0,0.0,0.0,3429.14990234375,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
7,NDXP,22030.7148,NDXP250213P18275000,2025-02-13,1,18275.0,put,0,0,0.0,0.0,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,NDXP,22030.7148,NDXP250213C18300000,2025-02-13,1,18300.0,call,0,0,3734.2168,0.0,no_change,3629.7,1,3809.6,1,0.0,0.0,0.0,3404.14990234375,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
9,NDXP,22030.7148,NDXP250213P18300000,2025-02-13,1,18300.0,put,0,0,0.0,0.0,no_change,0.0,0,0.05,25,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NDXP,22030.7148,NDXP250213C18325000,2025-02-13,1,18325.0,call,0,0,3709.2168,0.0,no_change,3604.7,1,3784.6,1,0.0,0.0,0.0,3379.14990234375,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
11,NDXP,22030.7148,NDXP250213P18325000,2025-02-13,1,18325.0,put,0,0,0.0,0.0,no_change,0.0,0,0.05,20,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,NDXP,22030.7148,NDXP250213C18350000,2025-02-13,1,18350.0,call,0,0,3684.2168,0.0,no_change,3579.7,1,3759.6,1,0.0,0.0,0.0,3354.14990234375,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
13,NDXP,22030.7148,NDXP250213P18350000,2025-02-13,1,18350.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,NDXP,22030.7148,NDXP250213C18375000,2025-02-13,1,18375.0,call,0,0,3659.2168,0.0,no_change,3554.7,1,3734.6,1,0.0,0.0,0.0,3329.19995117188,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
15,NDXP,22030.7148,NDXP250213P18375000,2025-02-13,1,18375.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,NDXP,22030.7148,NDXP250213C18400000,2025-02-13,1,18400.0,call,0,0,3634.2168,0.0,no_change,3529.7,1,3709.6,1,0.0,0.0,0.0,3304.19995117188,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
17,NDXP,22030.7148,NDXP250213P18400000,2025-02-13,1,18400.0,put,1,0,0.0,7.15,down,0.0,0,0.05,1,0.0,0.0,0.0,0.0500000007450581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,NDXP,22030.7148,NDXP250213C18425000,2025-02-13,1,18425.0,call,0,0,3609.2168,0.0,no_change,3504.7,1,3684.6,1,0.0,0.0,0.0,3279.19995117188,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
19,NDXP,22030.7148,NDXP250213P18425000,2025-02-13,1,18425.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,NDXP,22030.7148,NDXP250213C18450000,2025-02-13,1,18450.0,call,0,0,3584.2168,0.0,no_change,3479.7,1,3659.6,1,0.0,0.0,0.0,3253.35009765625,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
21,NDXP,22030.7148,NDXP250213P18450000,2025-02-13,1,18450.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,NDXP,22030.7148,NDXP250213C18475000,2025-02-13,1,18475.0,call,0,0,3559.2168,0.0,no_change,3454.7,1,3634.6,1,0.0,0.0,0.0,3228.30004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
23,NDXP,22030.7148,NDXP250213P18475000,2025-02-13,1,18475.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,NDXP,22030.7148,NDXP250213C18500000,2025-02-13,1,18500.0,call,0,0,3534.2168,0.0,no_change,3429.7,1,3609.6,1,0.0,0.0,0.0,3203.30004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
25,NDXP,22030.7148,NDXP250213P18500000,2025-02-13,1,18500.0,put,133,0,0.0,10.17,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,NDXP,22030.7148,NDXP250213C18525000,2025-02-13,1,18525.0,call,0,0,3509.2168,0.0,no_change,3404.7,1,3584.6,1,0.0,0.0,0.0,3178.30004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
27,NDXP,22030.7148,NDXP250213P18525000,2025-02-13,1,18525.0,put,1,4,0.0,0.05,no_change,0.0,0,0.05,6,0.05,0.05,0.05,0.100000001490116,-0.05,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
28,NDXP,22030.7148,NDXP250213C18550000,2025-02-13,1,18550.0,call,0,0,3484.2168,0.0,no_change,3379.7,1,3559.6,1,0.0,0.0,0.0,3153.30004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
29,NDXP,22030.7148,NDXP250213P18550000,2025-02-13,1,18550.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,NDXP,22030.7148,NDXP250213C18575000,2025-02-13,1,18575.0,call,20,0,3459.2168,3145.8,no_change,3354.7,1,3534.6,1,0.0,0.0,0.0,3128.30004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
31,NDXP,22030.7148,NDXP250213P18575000,2025-02-13,1,18575.0,put,0,0,0.0,0.0,no_change,0.0,0,20.0,2,0.0,0.0,0.0,0.100000001490116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NDXP,22030.7148,NDXP250213C18600000,2025-02-13,1,18600.0,call,0,0,3434.2168,0.0,no_change,3329.7,1,3509.6,1,0.0,0.0,0.0,3103.30004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
33,NDXP,22030.7148,NDXP250213P18600000,2025-02-13,1,18600.0,put,2,20,0.0,0.05,down,0.0,0,0.05,20,0.05,0.05,0.05,0.100000001490116,-0.05,-0.5,0.0,0.0,0.0,0.0,0.0,0.0
34,NDXP,22030.7148,NDXP250213C18625000,2025-02-13,1,18625.0,call,0,0,3409.2168,0.0,no_change,3304.7,1,3484.6,1,0.0,0.0,0.0,3078.30004882812,0.0,0.0,0.0,1.0,0.0,-0.0001,0.0,-0.001
