,Unnamed: 0,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,0,TSLA,402.02,TSLA250131C00075000,2025-01-31,0,75.0,call,117,20,329.6326,338.8,up,327.35,112,331.65,91,326.35,343.76,325.35,324.399993896484,14.4,0.0443897,0.0,1.0,0.0,0.0,0.0,0.0001
1,1,TSLA,402.02,TSLA250131P00075000,2025-01-31,0,75.0,put,40,2,0.0,0.01,no_change,0.0,0,0.01,1501,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,TSLA,402.02,TSLA250131C00080000,2025-01-31,0,80.0,call,1,23,324.6326,337.2,down,322.45,92,326.35,61,335.41,339.21,335.3,319.350006103516,17.85,0.0558948,0.0,1.0,0.0,0.0,0.0,0.0001
3,3,TSLA,402.02,TSLA250131P00080000,2025-01-31,0,80.0,put,2,0,0.0,0.01,no_change,0.0,0,0.02,21,0.0,0.0,0.0,0.0099999997764825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,TSLA,402.02,TSLA250131C00085000,2025-01-31,0,85.0,call,1,20,319.6326,329.65,up,317.4,94,321.3,59,330.44,330.44,329.6,314.399993896484,15.25,0.0485050999999999,0.0,1.0,0.0,0.0,0.0,0.0001
5,5,TSLA,402.02,TSLA250131P00085000,2025-01-31,0,85.0,put,50,0,0.0,0.02,up,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,TSLA,402.02,TSLA250131C00090000,2025-01-31,0,90.0,call,3,20,314.6326,326.2,no_change,312.4,94,316.35,61,326.93,326.93,326.2,309.525009155273,16.675,0.0538728,0.0,1.0,0.0,0.0,0.0,0.0001
7,7,TSLA,402.02,TSLA250131P00090000,2025-01-31,0,90.0,put,36,0,0.0,0.01,no_change,0.0,0,0.01,9000,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,TSLA,402.02,TSLA250131C00095000,2025-01-31,0,95.0,call,10,20,309.6326,321.2,up,307.35,89,311.35,61,321.4,321.4,321.05,304.300003051758,16.9,0.0555373,0.0,1.0,0.0,0.0,0.0,0.0001
9,9,TSLA,402.02,TSLA250131P00095000,2025-01-31,0,95.0,put,21,0,0.0,0.01,down,0.0,0,0.01,9000,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,TSLA,402.02,TSLA250131C00100000,2025-01-31,0,100.0,call,13,0,304.6326,289.02,up,302.4,95,306.4,54,0.0,0.0,0.0,299.525009155273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0001
11,11,TSLA,402.02,TSLA250131P00100000,2025-01-31,0,100.0,put,3358,2,0.0,0.01,no_change,0.0,0,0.01,1056,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,TSLA,402.02,TSLA250131C00105000,2025-01-31,0,105.0,call,3,0,299.6326,296.1,down,297.4,87,301.35,61,0.0,0.0,0.0,294.550003051758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0001
13,13,TSLA,402.02,TSLA250131P00105000,2025-01-31,0,105.0,put,36,0,0.0,0.01,no_change,0.0,0,0.01,5,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,TSLA,402.02,TSLA250131C00110000,2025-01-31,0,110.0,call,4,20,294.6326,306.85,down,292.4,95,296.4,54,307.96,307.96,306.85,289.25,17.6,0.060847,0.0,1.0,0.0,0.0,0.0,-0.0001
15,15,TSLA,402.02,TSLA250131P00110000,2025-01-31,0,110.0,put,182,0,0.0,0.02,up,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,16,TSLA,402.02,TSLA250131C00115000,2025-01-31,0,115.0,call,5,0,289.6326,287.95,up,287.4,95,291.4,54,0.0,0.0,0.0,284.300003051758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,17,TSLA,402.02,TSLA250131P00115000,2025-01-31,0,115.0,put,554,0,0.0,0.01,no_change,0.0,0,0.01,44,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,18,TSLA,402.02,TSLA250131C00120000,2025-01-31,0,120.0,call,196,177,284.6326,283.87,up,282.4,132,286.65,91,283.54,283.87,283.54,279.425003051758,4.445,0.0159077,0.0,1.0,0.0,0.0,0.0,0.0
19,19,TSLA,402.02,TSLA250131P00120000,2025-01-31,0,120.0,put,1593,0,0.0,0.01,no_change,0.0,0,0.01,756,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,TSLA,402.02,TSLA250131C00125000,2025-01-31,0,125.0,call,2,0,279.6326,266.0,down,277.4,95,281.4,54,0.0,0.0,0.0,274.425003051758,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0001
21,21,TSLA,402.02,TSLA250131P00125000,2025-01-31,0,125.0,put,29,0,0.0,0.01,no_change,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,22,TSLA,402.02,TSLA250131C00130000,2025-01-31,0,130.0,call,26,0,274.6327,277.64,no_change,272.4,95,276.4,54,0.0,0.0,0.0,269.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0001
23,23,TSLA,402.02,TSLA250131P00130000,2025-01-31,0,130.0,put,259,0,0.0,0.01,no_change,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,24,TSLA,402.02,TSLA250131C00135000,2025-01-31,0,135.0,call,18,15,269.6327,270.75,up,267.4,94,271.35,61,270.75,270.75,270.75,264.600006103516,6.15,0.0232426,0.0,1.0,0.0,0.0,0.0,0.0
25,25,TSLA,402.02,TSLA250131P00135000,2025-01-31,0,135.0,put,326,0,0.0001,0.01,down,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0
26,26,TSLA,402.02,TSLA250131C00140000,2025-01-31,0,140.0,call,1,0,264.6327,256.0,down,262.4,95,266.4,54,0.0,0.0,0.0,259.350006103516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0001
27,27,TSLA,402.02,TSLA250131P00140000,2025-01-31,0,140.0,put,665,0,0.0001,0.01,no_change,0.0,0,0.01,141,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0
28,28,TSLA,402.02,TSLA250131C00145000,2025-01-31,0,145.0,call,6,4,259.6327,267.33,up,257.4,95,261.4,54,267.33,267.33,267.33,254.450004577637,12.88,0.050619,0.0,1.0,0.0,-0.0001,0.0,0.0
29,29,TSLA,402.02,TSLA250131P00145000,2025-01-31,0,145.0,put,59,0,0.0001,0.02,up,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0
30,30,TSLA,402.02,TSLA250131C00150000,2025-01-31,0,150.0,call,100,94,254.6327,254.76,down,252.35,135,256.65,90,261.04,269.35,254.76,249.375,5.385,0.021594,0.0,1.0,0.0,-0.0001,0.0,0.0
31,31,TSLA,402.02,TSLA250131P00150000,2025-01-31,0,150.0,put,578,3,0.0001,0.01,no_change,0.0,0,0.01,32,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0001,0.0,0.0
32,32,TSLA,402.02,TSLA250131C00155000,2025-01-31,0,155.0,call,32,11,249.6327,260.79,down,247.4,87,251.35,61,261.0,261.0,260.79,244.5,16.29,0.0666258,0.0,1.0,0.0,-0.0001,0.0,0.0
33,33,TSLA,402.02,TSLA250131P00155000,2025-01-31,0,155.0,put,557,0,0.0001,0.01,no_change,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0
34,34,TSLA,402.02,TSLA250131C00160000,2025-01-31,0,160.0,call,6,4,244.6328,256.13,up,242.25,76,246.65,90,250.76,256.13,250.76,239.5,16.63,0.0694362999999999,0.0,1.0,0.0,-0.0001,0.0,0.0
35,35,TSLA,402.02,TSLA250131P00160000,2025-01-31,0,160.0,put,614,0,0.0001,0.01,no_change,0.0,0,0.01,32,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0
36,36,TSLA,402.02,TSLA250131C00165000,2025-01-31,0,165.0,call,13,5,239.6328,252.79,no_change,237.35,89,241.35,61,252.79,252.79,252.79,234.425003051758,18.365,0.0783406,0.0,1.0,0.0,-0.0002,0.0,0.0
37,37,TSLA,402.02,TSLA250131P00165000,2025-01-31,0,165.0,put,309,0,0.0002,0.01,no_change,0.0,0,0.03,1,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0
38,38,TSLA,402.02,TSLA250131C00170000,2025-01-31,0,170.0,call,50,2,234.6328,249.05,up,232.25,76,236.55,85,235.41,249.05,235.41,229.699996948242,19.35,0.0842403,0.0,1.0,0.0,-0.0002,0.0,0.0
39,39,TSLA,402.02,TSLA250131P00170000,2025-01-31,0,170.0,put,247,0,0.0002,0.01,down,0.0,0,0.01,22,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0
40,40,TSLA,402.02,TSLA250131C00175000,2025-01-31,0,175.0,call,23,0,229.6328,229.4,up,227.25,76,231.6,87,0.0,0.0,0.0,224.800003051758,0.0,0.0,0.0,1.0,0.0,-0.0002,0.0,0.0
41,41,TSLA,402.02,TSLA250131P00175000,2025-01-31,0,175.0,put,2740,20,0.0002,0.01,no_change,0.0,0,0.01,25,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0002,0.0,0.0
42,42,TSLA,402.02,TSLA250131C00180000,2025-01-31,0,180.0,call,163,105,224.6329,232.69,down,222.35,120,226.6,59,230.89,237.04,230.89,219.574996948242,13.115,0.059729,0.0,1.0,0.0,-0.0002,0.0,0.0
43,43,TSLA,402.02,TSLA250131P00180000,2025-01-31,0,180.0,put,4297,26,0.0003,0.01,no_change,0.0,0,0.01,1,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0002,0.0,0.0
44,44,TSLA,402.02,TSLA250131C00185000,2025-01-31,0,185.0,call,28,2,219.6329,220.0,down,217.3,102,221.6,59,229.5,229.5,220.0,214.450004577637,5.55,0.0258801,0.0,1.0,0.0,-0.0003,0.0,-0.0001
45,45,TSLA,402.02,TSLA250131P00185000,2025-01-31,0,185.0,put,560,0,0.0003,0.01,no_change,0.0,0,0.01,21,0.0,0.0,0.0,0.0049999998882412,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0
46,46,TSLA,402.02,TSLA250131C00190000,2025-01-31,0,190.0,call,128,11,214.6329,212.92,down,212.3,135,216.65,90,216.0,216.0,212.92,209.400001525879,3.52,0.0168099,0.0,1.0,0.0,-0.0003,0.0,0.0
47,47,TSLA,402.02,TSLA250131P00190000,2025-01-31,0,190.0,put,2090,2,0.0003,0.01,no_change,0.0,0,0.01,21,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0003,0.0,0.0
48,48,TSLA,402.02,TSLA250131C00195000,2025-01-31,0,195.0,call,34,8,209.633,212.0,down,207.3,74,211.65,90,217.86,222.54,212.0,204.325004577637,7.675,0.0375627,0.0,1.0,0.0,-0.0004,0.0,0.0
49,49,TSLA,402.02,TSLA250131P00195000,2025-01-31,0,195.0,put,1057,64,0.0004,0.01,no_change,0.0,0,0.01,1207,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0004,0.0,0.0
50,50,TSLA,402.02,TSLA250131C00200000,2025-01-31,0,200.0,call,268,215,204.633,203.96,up,202.3,135,206.65,90,216.36,217.8,202.84,199.949996948242,4.01,0.020055,0.0,1.0,0.0,-0.0004,0.0,0.0
51,51,TSLA,402.02,TSLA250131P00200000,2025-01-31,0,200.0,put,14717,78,0.0004,0.01,no_change,0.0,0,0.01,1171,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0004,0.0,0.0
52,52,TSLA,402.02,TSLA250131C00205000,2025-01-31,0,205.0,call,21,6,199.6331,199.39,up,197.25,76,201.6,87,210.83,210.85,197.4,194.5,4.89,0.0251413999999999,0.0,1.0,0.0,-0.0005,0.0,0.0
53,53,TSLA,402.02,TSLA250131P00205000,2025-01-31,0,205.0,put,2361,3,0.0005,0.01,no_change,0.0,0,0.01,1,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0005,0.0,0.0
54,54,TSLA,402.02,TSLA250131C00210000,2025-01-31,0,210.0,call,411,402,194.6331,192.48,down,192.35,135,196.65,90,197.77,208.04,192.48,189.75,2.73,0.0143874,0.0,1.0,0.0,-0.0005,0.0,0.0
55,55,TSLA,402.02,TSLA250131P00210000,2025-01-31,0,210.0,put,13994,3,0.0005,0.01,no_change,0.0,0,0.01,25,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0005,0.0,0.0
56,56,TSLA,402.02,TSLA250131C00215000,2025-01-31,0,215.0,call,387,10,189.6332,189.46,up,187.3,135,191.6,89,187.66,203.36,187.66,184.775001525879,4.685,0.0253552,0.0,1.0,0.0,-0.0006,0.0,-0.0001
57,57,TSLA,402.02,TSLA250131P00215000,2025-01-31,0,215.0,put,6799,4,0.0006,0.01,no_change,0.0,0,0.01,1,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0006,0.0,0.0
58,58,TSLA,402.02,TSLA250131C00220000,2025-01-31,0,220.0,call,233,57,184.6333,183.15,up,182.45,122,186.6,87,184.8,199.4,183.14,179.699996948242,3.45,0.0191987,0.0,1.0,0.0,-0.0006,0.0,0.0
59,59,TSLA,402.02,TSLA250131P00220000,2025-01-31,0,220.0,put,3248,42,0.0006,0.01,no_change,0.0,0,0.01,21,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,0.0,0.0,-0.0006,0.0,0.0
60,60,TSLA,402.02,TSLA250131C00225000,2025-01-31,0,225.0,call,341,324,179.6333,177.8,down,177.3,135,181.65,90,190.52,193.43,177.8,174.775001525879,3.025,0.017308,0.0,0.9999,0.0,-0.0007,0.0,0.0
61,61,TSLA,402.02,TSLA250131P00225000,2025-01-31,0,225.0,put,10108,4,0.0007,0.01,no_change,0.0,0,0.01,608,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0001,0.0,-0.0007,0.0,0.0
62,62,TSLA,402.02,TSLA250131C00230000,2025-01-31,0,230.0,call,205,178,174.6334,173.3,down,172.3,135,176.6,71,175.81,186.84,172.45,169.675003051758,3.625,0.0213644,0.0,0.9999,0.0,-0.0008,0.0,-0.0001
63,63,TSLA,402.02,TSLA250131P00230000,2025-01-31,0,230.0,put,3601,14,0.0008,0.01,no_change,0.0,0,0.01,10,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0001,0.0,-0.0008,0.0,0.0
64,64,TSLA,402.02,TSLA250131C00235000,2025-01-31,0,235.0,call,367,317,169.6335,173.63,down,167.45,124,171.65,90,166.9,184.56,166.9,164.800003051758,8.83,0.0535801,0.0,0.9999,0.0,-0.0008,0.0,0.0001
65,65,TSLA,402.02,TSLA250131P00235000,2025-01-31,0,235.0,put,2246,1,0.0009,0.01,no_change,0.0,0,0.01,259,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0001,0.0,-0.0008,0.0,0.0
66,66,TSLA,402.02,TSLA250131C00240000,2025-01-31,0,240.0,call,137,48,164.6335,164.4,up,162.9,73,166.6,74,170.75,177.92,164.2,159.650001525879,4.75,0.0297526,0.0,0.9999,0.0,-0.0009,0.0,-0.0001
67,67,TSLA,402.02,TSLA250131P00240000,2025-01-31,0,240.0,put,11306,41,0.0009,0.01,no_change,0.0,0,0.01,30,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0001,0.0,-0.0009,0.0,0.0
68,68,TSLA,402.02,TSLA250131C00245000,2025-01-31,0,245.0,call,172,142,159.6336,159.2,up,158.7,5,161.6,71,157.49,174.36,157.49,154.725006103516,4.475,0.0289222,0.0,0.9999,0.0,-0.001,0.0,0.0
69,69,TSLA,402.02,TSLA250131P00245000,2025-01-31,0,245.0,put,4944,27,0.001,0.01,no_change,0.0,0,0.01,6,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0001,0.0,-0.001,0.0,0.0
70,70,TSLA,402.02,TSLA250131C00250000,2025-01-31,0,250.0,call,90,70,154.6337,154.78,up,152.3,135,156.65,90,166.6,169.28,152.8,149.625,5.155,0.0344528,0.0,0.9999,0.0,-0.0011,0.0,-0.0001
71,71,TSLA,402.02,TSLA250131P00250000,2025-01-31,0,250.0,put,11310,76,0.0011,0.01,no_change,0.0,0,0.01,449,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0001,0.0,-0.0011,0.0,0.0
72,72,TSLA,402.02,TSLA250131C00255000,2025-01-31,0,255.0,call,167,61,149.6338,149.0,down,148.4,1,151.0,54,147.64,164.75,147.64,144.849998474121,4.15,0.0286503,0.0,0.9999,0.0,-0.0012,0.0,-0.0001
73,73,TSLA,402.02,TSLA250131P00255000,2025-01-31,0,255.0,put,2830,38,0.0012,0.01,no_change,0.0,0,0.01,115,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0001,0.0,-0.0012,0.0,0.0
74,74,TSLA,402.02,TSLA250131C00260000,2025-01-31,0,260.0,call,71,27,144.6339,144.68,down,142.65,85,146.65,90,154.29,159.5,144.27,139.775001525879,4.905,0.0350921,0.0,0.9999,0.0,-0.0013,0.0,0.0
75,75,TSLA,402.02,TSLA250131P00260000,2025-01-31,0,260.0,put,4380,20,0.0013,0.01,no_change,0.0,0,0.01,120,0.01,0.01,0.01,0.0099999997764825,0.0,2.23517e-08,0.0,-0.0001,0.0,-0.0013,0.0,0.0
76,76,TSLA,402.02,TSLA250131C00265000,2025-01-31,0,265.0,call,58,26,139.634,137.48,down,138.5,1,140.8,1,142.61,154.17,137.48,134.674995422363,2.805,0.020828,0.0,0.9999,0.0,-0.0014,0.0,0.0001
77,77,TSLA,402.02,TSLA250131P00265000,2025-01-31,0,265.0,put,2951,23,0.0014,0.01,no_change,0.0,0,0.01,112,0.01,0.01,0.01,0.0099999997764825,0.0,2.23517e-08,0.0,-0.0001,0.0,-0.0014,0.0,0.0
78,78,TSLA,402.02,TSLA250131C00270000,2025-01-31,0,270.0,call,167,82,134.6341,134.13,down,132.25,128,136.05,55,143.84,149.66,133.17,129.875,4.255,0.0327623,0.0,0.9998,0.0,-0.0015,0.0,0.0
79,79,TSLA,402.02,TSLA250131P00270000,2025-01-31,0,270.0,put,3374,41,0.0015,0.01,no_change,0.0,0,0.01,120,0.01,0.01,0.01,0.0099999997764825,0.0,2.23517e-08,0.0,-0.0001,0.0,-0.0015,0.0,0.0
80,80,TSLA,402.02,TSLA250131C00275000,2025-01-31,0,275.0,call,110,101,129.6342,128.7,down,128.3,1,131.5,68,125.75,143.45,125.75,124.774997711182,3.925,0.0314566,0.0,0.9998,0.0,-0.0016,0.0,0.0001
81,81,TSLA,402.02,TSLA250131P00275000,2025-01-31,0,275.0,put,2098,104,0.0016,0.01,no_change,0.0,0,0.01,124,0.01,0.01,0.01,0.0049999998882412,0.005,1.0,0.0,-0.0002,0.0,-0.0016,0.0,0.0
82,82,TSLA,402.02,TSLA250131C00280000,2025-01-31,0,280.0,call,364,157,124.6343,123.64,up,122.3,135,126.55,61,130.7,141.1,122.1,119.799999237061,3.84,0.0320534,0.0,0.9998,0.0,-0.0017,0.0,0.0
83,83,TSLA,402.02,TSLA250131P00280000,2025-01-31,0,280.0,put,6759,429,0.0017,0.01,no_change,0.0,0,0.01,117,0.01,0.01,0.01,0.0099999997764825,0.0,2.23517e-08,0.0,-0.0002,0.0,-0.0017,0.0,0.0
84,84,TSLA,402.02,TSLA250131C00282500,2025-01-31,0,282.5,call,66,1,122.1344,122.29,down,119.8,91,124.1,70,122.29,122.29,122.29,117.099998474121,5.19,0.0443210999999999,0.0,0.9998,0.0,-0.0018,0.0,0.0
