,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,TSLA,389.5867,TSLA250207C00100000,2025-02-07,4,100.0,call,31,92,304.761,319.03,down,303.55,2,305.45,3,316.7,319.94,315.7,303.125,19.48,0.0650309,0.0,0.9999,0.0,-0.004,0.0003,0.019
1,TSLA,389.5867,TSLA250207P00100000,2025-02-07,4,100.0,put,1031,57,0.0055,0.01,no_change,0.0,0,0.01,500,0.01,0.01,0.01,0.00499999988824129,0.005,1.0,2.9199,-0.0001,0.0,-0.0039,0.0003,0.0
2,TSLA,389.5867,TSLA250207C00110000,2025-02-07,4,110.0,call,12,20,294.7709,306.6,up,293.75,1,295.45,3,307.01,307.01,306.55,293.174987792969,16.775,0.0578798,2.8721,0.9999,0.0,-0.0046,0.0004,0.0212
3,TSLA,389.5867,TSLA250207P00110000,2025-02-07,4,110.0,put,181,159,0.0065,0.01,no_change,0.0,0,0.01,500,0.01,0.01,0.01,0.00499999988824129,-0.005,-0.333333,2.7247,-0.0002,0.0,-0.0046,0.0004,0.0
4,TSLA,389.5867,TSLA250207C00120000,2025-02-07,4,120.0,call,253,199,284.7811,283.07,down,284.05,1,285.4,2,297.16,297.16,283.07,283.274993896484,3.27,0.0116869,2.3753,0.9999,0.0,-0.0053,0.0004,0.0228
5,TSLA,389.5867,TSLA250207P00120000,2025-02-07,4,120.0,put,810,46,0.0077,0.01,no_change,0.0,0,0.01,500,0.01,0.01,0.01,0.00499999988824129,0.0,2.2351699999999998e-08,2.5468,-0.0002,0.0,-0.0053,0.0004,0.0
6,TSLA,389.5867,TSLA250207C00130000,2025-02-07,4,130.0,call,4,0,274.7914,266.15,down,273.05,1,275.4,3,0.0,0.0,0.0,273.100006103516,0.0,0.0,0.0,0.9998,0.0,-0.0062,0.0005,0.0248
7,TSLA,389.5867,TSLA250207P00130000,2025-02-07,4,130.0,put,5803,5106,0.0091,0.01,no_change,0.0,0,0.01,255,0.01,0.01,0.01,0.00499999988824129,-0.01,-0.5,2.3834,-0.0003,0.0,-0.0062,0.0005,0.0
8,TSLA,389.5867,TSLA250207C00140000,2025-02-07,4,140.0,call,18,20,264.8019,274.95,up,263.25,1,265.45,3,275.66,275.66,274.9,263.25,14.875,0.0571951,2.3201,0.9998,0.0,-0.0072,0.0006,0.0268
9,TSLA,389.5867,TSLA250207P00140000,2025-02-07,4,140.0,put,2057,1851,0.0106,0.01,no_change,0.0,0,0.02,30,0.01,0.02,0.01,0.00499999988824129,0.0,2.2351699999999998e-08,2.3437,-0.0003,0.0,-0.0072,0.0006,0.0
10,TSLA,389.5867,TSLA250207C00150000,2025-02-07,4,150.0,call,44,46,254.8127,268.08,down,253.65,2,255.45,3,265.95,268.78,265.94,253.25,18.005,0.0719984,2.5048,0.9997,0.0,-0.0083,0.0008,0.0286
11,TSLA,389.5867,TSLA250207P00150000,2025-02-07,4,150.0,put,2088,1107,0.0124,0.01,no_change,0.0,0,0.02,10,0.01,0.03,0.01,0.00999999977648258,-0.005,-0.333333,2.1965,-0.0004,0.0,-0.0083,0.0008,0.0
12,TSLA,389.5867,TSLA250207C00160000,2025-02-07,4,160.0,call,16,14,244.8238,256.15,down,243.3,5,245.45,3,250.86,256.18,250.86,243.150001525879,16.05,0.06684720000000001,0.0,0.9996,0.0,-0.0096,0.0009,0.0306
13,TSLA,389.5867,TSLA250207P00160000,2025-02-07,4,160.0,put,323,35,0.0146,0.02,no_change,0.0,0,0.07,54,0.02,0.02,0.02,0.0350000001490116,0.005,0.333333,2.2765,-0.0005,0.0,-0.0096,0.0009,0.0
14,TSLA,389.5867,TSLA250207C00170000,2025-02-07,4,170.0,call,44,74,234.8353,238.0,up,233.9,2,235.4,1,235.51,250.07,235.51,233.300003051758,7.875,0.0342205,1.876,0.9995,0.0,-0.0111,0.0011,0.0326
15,TSLA,389.5867,TSLA250207P00170000,2025-02-07,4,170.0,put,726,3,0.0171,0.02,up,0.01,20,0.02,1,0.01,0.02,0.01,0.0149999996647239,0.005,0.333333,1.99,-0.0006,0.0,-0.0111,0.0011,0.0
16,TSLA,389.5867,TSLA250207C00180000,2025-02-07,4,180.0,call,163,124,224.8472,232.86,down,224.15,1,225.4,10,231.04,237.35,231.04,223.324996948242,12.735,0.0578535,0.0,0.9994,0.0,-0.0128,0.0013,0.0343
17,TSLA,389.5867,TSLA250207P00180000,2025-02-07,4,180.0,put,2514,73,0.02,0.01,down,0.01,61,0.02,11,0.02,0.02,0.01,0.0149999996647239,-0.005,-0.333333,1.8646,-0.0007,0.0,-0.0128,0.0013,0.0
18,TSLA,389.5867,TSLA250207C00190000,2025-02-07,4,190.0,call,13,2,214.8597,217.2,down,213.35,5,215.5,3,224.1,224.1,217.2,213.175003051758,7.05,0.0335475,0.0,0.9992,0.0,-0.0148,0.0016,0.0363
19,TSLA,389.5867,TSLA250207P00190000,2025-02-07,4,190.0,put,1803,93,0.0235,0.01,down,0.0,0,0.1,42,0.02,0.02,0.01,0.00999999977648258,0.0,2.2351699999999998e-08,1.6924,-0.0008,0.0,-0.0148,0.0016,-0.0001
20,TSLA,389.5867,TSLA250207C00200000,2025-02-07,4,200.0,call,182,151,204.8728,202.87,down,203.65,1,205.55,3,216.03,218.8,202.87,203.224998474121,2.795,0.013969800000000001,1.7295,0.999,0.0,-0.017,0.0019,0.0383
21,TSLA,389.5867,TSLA250207P00200000,2025-02-07,4,200.0,put,3652,444,0.0276,0.04,no_change,0.01,3,0.03,100,0.03,0.04,0.01,0.0249999994412065,0.015,0.6,1.6717,-0.001,0.0,-0.017,0.0019,-0.0001
22,TSLA,389.5867,TSLA250207C00210000,2025-02-07,4,210.0,call,425,408,194.8866,194.83,down,193.65,1,195.5,3,197.8,208.25,192.68,193.400001525879,4.655,0.0244774,0.0,0.9988,0.0,-0.0196,0.0023,0.0402
23,TSLA,389.5867,TSLA250207P00210000,2025-02-07,4,210.0,put,1348,115,0.0325,0.03,no_change,0.01,1,0.09,37,0.03,0.07,0.03,0.0500000016763806,0.01,0.5,1.6942,-0.0013,0.0,-0.0197,0.0023,-0.0001
24,TSLA,389.5867,TSLA250207C00220000,2025-02-07,4,220.0,call,307,51,184.9014,184.29,no_change,184.3,1,185.55,3,192.05,199.35,184.29,183.350006103516,4.09,0.022697,0.0,0.9985,0.0001,-0.0227,0.0028,0.042
25,TSLA,389.5867,TSLA250207P00220000,2025-02-07,4,220.0,put,1661,262,0.0383,0.03,down,0.02,3,0.05,2,0.05,0.05,0.02,0.0400000000372529,-0.01,-0.25,1.5301,-0.0016,0.0001,-0.0227,0.0028,-0.0001
26,TSLA,389.5867,TSLA250207C00230000,2025-02-07,4,230.0,call,385,382,174.9173,174.0,up,174.1,1,175.5,2,176.08,187.1,172.76,173.400001525879,3.775,0.0221765,1.482,0.9982,0.0001,-0.0263,0.0034,0.044
27,TSLA,389.5867,TSLA250207P00230000,2025-02-07,4,230.0,put,3715,1530,0.0453,0.04,no_change,0.04,1,0.05,8,0.05,0.06,0.01,0.034999999217689,-0.015,-0.272727,1.4591,-0.0019,0.0001,-0.0263,0.0034,-0.0001
28,TSLA,389.5867,TSLA250207C00240000,2025-02-07,4,240.0,call,208,52,164.9346,165.0,up,163.9,1,165.55,3,162.52,179.35,162.52,163.399993896484,4.725,0.0294806,1.4616,0.9977,0.0001,-0.0304,0.0041,0.0457
29,TSLA,389.5867,TSLA250207P00240000,2025-02-07,4,240.0,put,12114,766,0.0536,0.05,no_change,0.03,14,0.06,8,0.07,0.07,0.03,0.0499999988824129,-0.025,-0.333333,1.3566,-0.0024,0.0001,-0.0304,0.0041,-0.0002
30,TSLA,389.5867,TSLA250207C00250000,2025-02-07,4,250.0,call,193,132,154.9536,153.59,up,154.05,2,155.5,10,155.52,170.17,152.8,153.375,3.39,0.0225699,1.3418,0.9972,0.0001,-0.0353,0.0049,0.0476
31,TSLA,389.5867,TSLA250207P00250000,2025-02-07,4,250.0,put,12902,4064,0.0638,0.06,no_change,0.06,60,0.07,3,0.08,0.09,0.04,0.0649999994784594,-0.03,-0.333333,1.3048,-0.0029,0.0001,-0.0354,0.005,-0.0002
32,TSLA,389.5867,TSLA250207C00260000,2025-02-07,4,260.0,call,206,51,144.9748,144.72,down,144.45,1,145.65,3,154.6,159.7,144.3,143.224998474121,4.395,0.0313202,1.297,0.9965,0.0002,-0.041,0.006,0.0495
33,TSLA,389.5867,TSLA250207P00260000,2025-02-07,4,260.0,put,9163,9409,0.076,0.1,no_change,0.07,1,0.09,14,0.07,0.11,0.05,0.0899999998509884,-0.015,-0.130435,1.2249,-0.0036,0.0002,-0.0411,0.006,-0.0003
34,TSLA,389.5867,TSLA250207C00265000,2025-02-07,4,265.0,call,141,77,139.9863,137.83,down,138.7,3,140.65,2,143.0,155.0,137.83,138.5,2.605,0.0192642,1.241,0.996,0.0002,-0.0441,0.0066,0.0504
35,TSLA,389.5867,TSLA250207P00265000,2025-02-07,4,265.0,put,3185,1593,0.083,0.1,no_change,0.06,46,0.1,14,0.09,0.1,0.06,0.0949999988079071,-0.03,-0.23076899999999997,1.1924,-0.004,0.0002,-0.0442,0.0066,-0.0003
36,TSLA,389.5867,TSLA250207C00270000,2025-02-07,4,270.0,call,181,119,134.9986,134.88,down,134.1,2,135.55,1,142.82,150.1,134.88,133.525001525879,4.605,0.0353483,1.0642,0.9956,0.0002,-0.0476,0.0073,0.0513
37,TSLA,389.5867,TSLA250207P00270000,2025-02-07,4,270.0,put,3830,1365,0.0908,0.1,no_change,0.1,250,0.11,72,0.01,0.14,0.01,0.105000000447035,-0.035,-0.25925899999999996,1.1714,-0.0045,0.0002,-0.0477,0.0074,-0.0003
38,TSLA,389.5867,TSLA250207C00275000,2025-02-07,4,275.0,call,141,84,130.0117,129.05,down,129.05,2,130.6,1,130.34,143.78,127.95,128.450004577637,3.775,0.0301337,1.1321,0.995,0.0002,-0.0513,0.0081,0.0522
39,TSLA,389.5867,TSLA250207P00275000,2025-02-07,4,275.0,put,3453,1440,0.0994,0.11,down,0.1,1,0.11,1,0.12,0.13,0.08,0.114999998360872,-0.035,-0.24137899999999998,1.1231,-0.005,0.0002,-0.0514,0.0081,-0.0004
40,TSLA,389.5867,TSLA250207C00277500,2025-02-07,4,277.5,call,23,87,127.5186,126.55,down,126.55,2,128.15,10,129.3,142.63,126.55,126.025001525879,3.625,0.0294895,1.0348,0.9947,0.0002,-0.0533,0.0086,0.0527
41,TSLA,389.5867,TSLA250207P00277500,2025-02-07,4,277.5,put,395,126,0.1041,0.11,no_change,0.09,1,0.12,14,0.1,0.13,0.09,0.109999999403954,-0.02,-0.153846,1.0992,-0.0054,0.0002,-0.0534,0.0086,-0.0004
