,underlying_symbol,underlying_price,contract_symbol,expiration,dte,strike,option_type,open_interest,volume,theoretical_price,last_trade_price,tick,bid,bid_size,ask,ask_size,open,high,low,prev_close,change,change_percent,implied_volatility,delta,gamma,theta,vega,rho
0,TSLA,348.06,TSLA250214C00100000,2025-02-14,4,100.0,call,33,14,250.8335,260.97,up,250.05,4,251.7,5,256.86,260.97,251.65,261.025009155273,-0.055,-0.000210743,4.1478,1.0,0.0,0.0,0.0001,0.0191
1,TSLA,348.06,TSLA250214P00100000,2025-02-14,4,100.0,put,248,21,0.0015,0.01,down,0.0,0,0.01,999,0.01,0.03,0.01,0.00499999988824129,0.005,1.0,3.5053,-0.0001,0.0,-0.0014,0.0001,0.0
2,TSLA,348.06,TSLA250214C00110000,2025-02-14,4,110.0,call,3,0,240.8429,288.8,down,239.05,93,243.05,87,0.0,0.0,0.0,251.050003051758,0.0,0.0,4.5213,1.0,0.0,0.0,0.0001,0.0211
3,TSLA,348.06,TSLA250214P00110000,2025-02-14,4,110.0,put,2836,142,0.002,0.01,no_change,0.0,0,0.01,200,0.01,0.01,0.01,0.00499999988824129,0.005,1.0,3.2457,-0.0001,0.0,-0.0019,0.0001,0.0
4,TSLA,348.06,TSLA250214C00120000,2025-02-14,4,120.0,call,216,0,230.8525,257.75,down,229.05,100,233.05,86,0.0,0.0,0.0,241.175003051758,0.0,0.0,4.1762,1.0,0.0,0.0,0.0001,0.0229
5,TSLA,348.06,TSLA250214P00120000,2025-02-14,4,120.0,put,6677,5,0.0027,0.01,down,0.0,0,0.01,200,0.02,0.02,0.01,0.00499999988824129,0.005,1.0,3.009,-0.0001,0.0,-0.0024,0.0001,0.0
6,TSLA,348.06,TSLA250214C00130000,2025-02-14,4,130.0,call,0,0,220.8623,0.0,no_change,219.15,67,223.1,110,0.0,0.0,0.0,231.050003051758,0.0,0.0,4.0163,1.0,0.0,0.0,0.0002,0.0248
7,TSLA,348.06,TSLA250214P00130000,2025-02-14,4,130.0,put,1651,26,0.0035,0.01,no_change,0.0,0,0.01,500,0.01,0.01,0.01,0.00999999977648258,0.0,2.2351699999999998e-08,2.7915,-0.0001,0.0,-0.0032,0.0002,0.0
8,TSLA,348.06,TSLA250214C00140000,2025-02-14,4,140.0,call,13,3,210.8723,222.6,no_change,209.05,61,213.05,87,222.6,222.6,222.6,221.0,1.6,0.00723982,3.5678,1.0,0.0,0.0,0.0003,0.0268
9,TSLA,348.06,TSLA250214P00140000,2025-02-14,4,140.0,put,17,0,0.0046,0.02,no_change,0.0,0,0.01,500,0.0,0.0,0.0,0.0500000007450581,0.0,0.0,2.5902,-0.0002,0.0,-0.0041,0.0003,0.0
10,TSLA,348.06,TSLA250214C00150000,2025-02-14,4,150.0,call,51,8,200.8826,204.97,up,199.2,73,203.1,82,204.6,205.0,204.6,211.175003051758,-6.205,-0.0293832,3.4833,0.9999,0.0,0.0,0.0004,0.0287
11,TSLA,348.06,TSLA250214P00150000,2025-02-14,4,150.0,put,99,0,0.006,0.01,down,0.0,0,0.01,500,0.0,0.0,0.0,0.0649999976158142,0.0,0.0,2.4029,-0.0003,0.0,-0.0053,0.0004,0.0
12,TSLA,348.06,TSLA250214C00160000,2025-02-14,4,160.0,call,21,2,190.8933,195.25,up,189.1,64,193.1,85,194.5,195.25,194.5,201.024993896484,-5.775,-0.028727700000000002,3.141,0.9998,0.0,0.0,0.0005,0.0306
13,TSLA,348.06,TSLA250214P00160000,2025-02-14,4,160.0,put,419,21,0.0078,0.01,no_change,0.0,0,0.01,500,0.02,0.13,0.01,0.0199999995529652,-0.01,-0.5,2.2276,-0.0004,0.0,-0.0068,0.0005,0.0
14,TSLA,348.06,TSLA250214C00170000,2025-02-14,4,170.0,call,31,6,180.9045,187.51,down,179.25,75,183.1,89,187.51,187.51,187.51,191.074996948242,-3.565,-0.0186576,3.0158,0.9997,0.0,0.0,0.0006,0.0325
